column,description,year,units
FIPS,4-5 digit state and county FIPS code,,
state,state name,,
county,county name,,
housing_units,housing units,,units
area_land,land area,,sq. mi.
area_water,water area,,sq. mi.
lat,latitude,,
long,longitude,,
votes_clinton,number of votes cast for Hillary Clinton,2016,people
votes_trump,number of votes cast for Donald Trump,2016,people
votes_total ,total number of votes cast for president,2016,people
pop,population,2016 (estimated),people
pop_male,male population,2016 (estimated),people
pop_female,female population,2016 (estimated),people
white_male,white-alone male population,2016 (estimated),people
white_female,white-alone female population,2016 (estimated),people
black_male,black/African American-alone male population,2016 (estimated),people
black_female,black/African American-alone female population,2016 (estimated),people
amerindian_male,American Indian and Alaska Native-alone male population,2016 (estimated),people
amerindian_female,American Indian and Alaska Native-alone female population,2016 (estimated),people
asian_male,Asian-alone male population,2016 (estimated),people
asian_female,Asian-alone female population,2016 (estimated),people
pacific_male,Native Hawaiian and other Pacific Islander-alone male population,2016 (estimated),people
pacific_female,Native Hawaiian and other Pacific Islander-alone female population,2016 (estimated),people
multiracial_male,two or more races male population,2016 (estimated),people
multiracial_female,two or more races female population,2016 (estimated),people
hispanic_male,hispanic male population,2016 (estimated),people
hispanic_female,hispanic female population,2016 (estimated),people
pop_0to4,Age 0 to 4 population,2016 (estimated),people
pop_0to4_male,Age 0 to 4 male population,2016 (estimated),people
pop_0to4_female,Age 0 to 4 female population,2016 (estimated),people
pop_5to9,Age 5 to 9 population,2016 (estimated),people
pop_5to9_male,Age 5 to 9 male population,2016 (estimated),people
pop_5to9_female,Age 5 to 9 female population,2016 (estimated),people
pop_10to14,Age 10 to 14 population,2016 (estimated),people
pop_10to14_male,Age 10 to 14 male population,2016 (estimated),people
pop_10to14_female,Age 10 to 14 female population,2016 (estimated),people
pop_15to19,Age 15 to 19 population,2016 (estimated),people
pop_15to19_male,Age 15 to 19 male population,2016 (estimated),people
pop_15to19_female,Age 15 to 19 female population,2016 (estimated),people
pop_20to24,Age 20 to 24 population,2016 (estimated),people
pop_20to24_male,Age 20 to 24 male population,2016 (estimated),people
pop_20to24_female,Age 20 to 24 female population,2016 (estimated),people
pop_25to29,Age 25 to 29 population,2016 (estimated),people
pop_25to29_male,Age 25 to 29 male population,2016 (estimated),people
pop_25to29_female,Age 25 to 29 female population,2016 (estimated),people
pop_30to34,Age 30 to 34 population,2016 (estimated),people
pop_30to34_male,Age 30 to 34 male population,2016 (estimated),people
pop_30to34_female,Age 30 to 34 female population,2016 (estimated),people
pop_35to39,Age 35 to 39 population,2016 (estimated),people
pop_35to39_male,Age 35 to 39 male population,2016 (estimated),people
pop_35to39_female,Age 35 to 39 female population,2016 (estimated),people
pop_40to44,Age 40 to 44 population,2016 (estimated),people
pop_40to44_male,Age 40 to 44 male population,2016 (estimated),people
pop_40to44_female,Age 40 to 44 female population,2016 (estimated),people
pop_45to49,Age 45 to 49 population,2016 (estimated),people
pop_45to49_male,Age 45 to 49 male population,2016 (estimated),people
pop_45to49_female,Age 45 to 49 female population,2016 (estimated),people
pop_50to54,Age 50 to 54 population,2016 (estimated),people
pop_50to54_male,Age 50 to 54 male population,2016 (estimated),people
pop_50to54_female,Age 50 to 54 female population,2016 (estimated),people
pop_55to59,Age 55 to 59 population,2016 (estimated),people
pop_55to59_male,Age 55 to 59 male population,2016 (estimated),people
pop_55to59_female,Age 55 to 59 female population,2016 (estimated),people
pop_60to64,Age 60 to 64 population,2016 (estimated),people
pop_60to64_male,Age 60 to 64 male population,2016 (estimated),people
pop_60to64_female,Age 60 to 64 female population,2016 (estimated),people
pop_65to69,Age 65 to 69 population,2016 (estimated),people
pop_65to69_male,Age 65 to 69 male population,2016 (estimated),people
pop_65to69_female,Age 65 to 69 female population,2016 (estimated),people
pop_70to74,Age 70 to 74 population,2016 (estimated),people
pop_70to74_male,Age 70 to 74 male population,2016 (estimated),people
pop_70to74_female,Age 70 to 74 female population,2016 (estimated),people
pop_75to79,Age 75 to 79 population,2016 (estimated),people
pop_75to79_male,Age 75 to 79 male population,2016 (estimated),people
pop_75to79_female,Age 75 to 79 female population,2016 (estimated),people
pop_80to84,Age 80 to 84 population,2016 (estimated),people
pop_80to84_male,Age 80 to 84 male population,2016 (estimated),people
pop_80to84_female,Age 80 to 84 female population,2016 (estimated),people
pop_85plus,Age 85 or older population,2016 (estimated),people
pop_85plus_male,Age 85 or older male population,2016 (estimated),people
pop_85plus_female,Age 85 or older female population,2016 (estimated),people
OASDI_ben_total,OASDI beneficiaries,2015,people
OASDI_ben_retirement_workers,OASDI retirement worker beneficiaries,2015,people
OASDI_ben_retirement_spouses,OASDI retirement worker spouse beneficiaries,2015,people
OASDI_ben_retirement_children,OASDI retirement worker child beneficiaries,2015,people
OASDI_ben_survivors_widows_parents,"OASDI survivor widow, widower, & parent beneficiaries",2015,people
OASDI_ben_survivors_children,OASDI survivor child beneficiaries,2015,people
OASDI_ben_disability_workers,OASDI disability worker beneficiaries,2015,people
OASDI_ben_disability_spouses,OASDI disability spouse beneficiaries,2015,people
OASDI_ben_disability_children,OASDI disability child beneficiaries,2015,people
OASDI_ben_age65_M,OASDI age 65 or older male beneficiaries,2015,people
OASDI_ben_age65_F,OASDI age 65 or older female beneficiaries,2015,people
OASDI_pay_total,OASDI payments,2015,$ (thousands)
OASDI_pay_retirement_workers,OASDI retirement worker payments,2015,$ (thousands)
OASDI_pay_retirement_spouses,OASDI retirement worker spouse payments,2015,$ (thousands)
OASDI_pay_retirement_children,OASDI retirement worker child payments,2015,$ (thousands)
OASDI_pay_survivors_widows_parents,"OASDI survivor widow, widower, & parent payments",2015,$ (thousands)
OASDI_pay_survivors_children,OASDI survivor child payments,2015,$ (thousands)
OASDI_pay_disability_workers,OASDI disability worker payments,2015,$ (thousands)
OASDI_pay_disability_spouses,OASDI disability spouse payments,2015,$ (thousands)
OASDI_pay_disability_children,OASDI disability child payments,2015,$ (thousands)
OASDI_pay_age65_M,OASDI age 65 or older male payments,2015,$ (thousands)
OASDI_pay_age65_F,OASDI age 65 or older female payments,2015,$ (thousands)
SAIPE_poverty,SAIPE poverty population,2015,people
SAIPE_poverty_0to4,SAIPE poverty population (age 0 to 4),2015,people
SAIPE_poverty_5to17,SAIPE poverty population (age 5 to 17),2015,people
SAIPE_median_hhi,SAIPE median household income,2015,$
SSI_total,SSI recipients,2015,people
SSI_aged,SSI recipients (aged),2015,people
SSI_blind_disabled,SSI recipients (blind/disabled),2015,people
SSI_age_0to18,SSI recipients (age 0 to 18),2015,people
SSI_age_0to18,SSI recipients (age 18 to 64),2015,people
SSI_age_0to18,SSI recipients (age 65 and over),2015,people
SSI_and_OASDI,SSI recipients who also receive OASDI,2015,people
SSI_pay,SSI payments,2015,$ (thousands)
DM_deaths_drug,drug deaths (from Underlying Cause of Death Detailed Mortality dataset),2015,people
DM_crude_rate_drug,crude rate of drug deaths (from Underlying Cause of Death Detailed Mortality dataset),2015,per 100000 
DM_age_adj_rate_drug,age adjusted rate of drug deaths (from Underlying Cause of Death Detailed Mortality dataset),2015,per 100000 
DM_deaths_all,all deaths (from Underlying Cause of Death Detailed Mortality dataset),2015,people
DM_crude_rate_all,crude rate of all deaths (from Underlying Cause of Death Detailed Mortality dataset),2015,per 100000 
DM_age_adj_rate_all,age adjusted rate of all deaths (from Underlying Cause of Death Detailed Mortality dataset),2015,per 100000 
CM_deaths_opiates,opioid deaths (from Underlying Cause of Death Compressed Mortality dataset),2015,people
CM_crude_rate_opiates,crude rate of opioid deaths (from Underlying Cause of Death Compressed Mortality dataset),2015,per 100000 
CM_age_adj_rate_opiates,age adjusted rate of opioid deaths (from Underlying Cause of Death Compressed Mortality dataset),2015,per 100000 
CM_deaths_all,all deaths (from Underlying Cause of Death Compressed Mortality dataset),2015,people
CM_crude_rate_all,crude rate of all deaths (from Underlying Cause of DeathCompressed Mortality dataset),2015,per 100000 
CM_age_adj_rate_all,age adjusted rate of all deaths (from Underlying Cause of Death Compressed Mortality dataset),2015,per 100000 
uninsured,individuals without health insurance ,2015,people
insured,individuals with health insurance,2015,people
partd_prescribers_2013,Medicare Part D prescribers (2013),2013,people
partd_claims_opioid_2013,Medicare Part D opioid claims (2013),2013,units
partd_claims_all_2013,Medicare Part D claims (2013),2013,units
partd_prescribers_2014,Medicare Part D prescribers (2014),2014,people
partd_claims_opioid_2014,Medicare Part D opioid claims (2014),2014,units
